0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2
10,25,25,25,25,25,25,25,25,25,25,13,25,25,25,25,25,25,25,25,25,25,10
10,25,0,1,2,25,0,1,1,2,25,13,25,0,1,1,2,25,0,1,2,25,10
10,26,10,11,12,25,10,11,11,12,25,13,25,10,11,11,12,25,10,11,12,26,10
10,25,20,21,22,25,20,21,21,22,25,23,25,20,21,21,22,25,20,21,22,25,12
10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10
10,25,0,1,2,25,4,25,25,0,16,16,16,2,25,25,4,25,0,21,2,25,10
10,25,20,21,22,25,5,7,25,20,21,21,21,22,25,15,17,25,20,21,22,25,10
10,25,25,25,25,25,13,11,11,11,11,11,11,11,11,11,13,25,25,25,25,25,10
20,21,21,21,2,25,23,11,0,1,38,37,39,1,2,11,23,25,0,21,21,21,22
11,11,11,11,11,25,25,11,10,11,11,11,11,11,12,11,25,25,11,11,11,11,11
0,21,21,21,22,25,4,11,10,11,11,11,11,11,12,11,4,25,20,21,21,21,2
10,25,25,25,25,25,12,11,20,21,21,21,21,21,22,11,13,25,25,25,25,25,10
10,25,15,16,2,25,23,11,11,11,11,11,11,11,11,11,23,25,0,1,7,25,10
10,25,25,25,13,25,25,25,15,21,21,3,1,21,7,25,25,25,10,25,25,25,10
5,6,7,25,23,25,4,25,25,25,25,13,25,25,25,25,4,25,23,25,15,16,17
10,25,25,25,25,25,5,21,1,7,25,23,25,15,21,21,17,25,25,25,25,25,10
10,25,15,3,7,25,23,25,25,25,25,25,25,25,25,25,23,25,15,3,7,25,10
10,25,25,13,25,25,25,25,0,16,7,25,15,16,2,25,25,25,25,13,25,25,10
5,7,25,23,25,15,16,16,22,25,25,25,25,25,20,6,21,7,25,23,25,15,17
10,26,25,25,25,25,25,25,25,25,0,1,2,25,25,25,25,25,25,25,25,26,10
20,21,21,21,21,21,21,21,21,21,22,11,20,21,21,21,21,21,21,21,21,21,22
